shortname,longname,icon
fof,Frets on Fire,http://media.xfire.com/xfire/xf/images/icons/fof.gif
fsw2th,FSW Ten Hammers,http://media.xfire.com/xfire/xf/images/icons/fsw2th.gif
fsw,Full Spectrum Warrior,http://media.xfire.com/xfire/xf/images/icons/fsw.gif
ftpoker,Full Tilt Poker.com,http://media.xfire.com/xfire/xf/images/icons/ftpoker.gif
gciv,Galactic Civilizations,http://media.xfire.com/xfire/xf/images/icons/gciv.gif
gcivap,Galactic Civilizations - The Altarian Prophecy,http://media.xfire.com/xfire/xf/images/icons/gcivap.gif
gciv2,Galactic Civilizations II,http://media.xfire.com/xfire/xf/images/icons/gciv2.gif
gtycoon,Game Tycoon,http://media.xfire.com/xfire/xf/images/icons/gtycoon.gif
gtap,GameTap,http://media.xfire.com/xfire/xf/images/icons/gtap.gif
gcp,Gaming Club Poker,http://media.xfire.com/xfire/xf/images/icons/gcp.gif
gland,Gangland,http://media.xfire.com/xfire/xf/images/icons/gland.gif
got,Gates of Troy,http://media.xfire.com/xfire/xf/images/icons/got.gif
gampd,GetAmped,http://media.xfire.com/xfire/xf/images/icons/gampd.gif
gr,Ghost Recon,http://media.xfire.com/xfire/xf/images/icons/gr.gif
graw,Ghost Recon Advanced Warfighter,http://media.xfire.com/xfire/xf/images/icons/graw.gif
grawd,Ghost Recon Advanced Warfighter Demo,http://media.xfire.com/xfire/xf/images/icons/grawd.gif
giants,Giants: Citizen Kabuto,http://media.xfire.com/xfire/xf/images/icons/giants.gif
gotre,Glory of the Roman Empire,http://media.xfire.com/xfire/xf/images/icons/gotre.gif
glq,GLQuake,http://media.xfire.com/xfire/xf/images/icons/glq.gif
hl2ge,Goldeneye: Source,http://media.xfire.com/xfire/xf/images/icons/hl2ge.gif
goonzu,Goonzu Online,http://media.xfire.com/xfire/xf/images/icons/goonzu.gif
gore,Gore - Ultimate Soldier,http://media.xfire.com/xfire/xf/images/icons/gore.gif
gotcha,Gotcha!,http://media.xfire.com/xfire/xf/images/icons/gotcha.gif
goth2,Gothic II,http://media.xfire.com/xfire/xf/images/icons/goth2.gif
goth3,Gothic III,http://media.xfire.com/xfire/xf/images/icons/goth3.gif
gtavc,Grand Theft Auto - Vice City,http://media.xfire.com/xfire/xf/images/icons/gtavc.gif
gta2,Grand Theft Auto 2,http://media.xfire.com/xfire/xf/images/icons/gta2.gif
gta3,Grand Theft Auto III,http://media.xfire.com/xfire/xf/images/icons/gta3.gif
gtasa,Grand Theft Auto San Andreas,http://media.xfire.com/xfire/xf/images/icons/gtasa.gif
grimfan,Grim Fandango,http://media.xfire.com/xfire/xf/images/icons/grimfan.gif
gc2,Ground Control II,http://media.xfire.com/xfire/xf/images/icons/gc2.gif
gtl,GT Legends,http://media.xfire.com/xfire/xf/images/icons/gtl.gif
gtr,GTR,http://media.xfire.com/xfire/xf/images/icons/gtr.gif
gtr2,GTR 2,http://media.xfire.com/xfire/xf/images/icons/gtr2.gif
gw,Guild Wars,http://media.xfire.com/xfire/xf/images/icons/gw.gif
gun,Gun,http://media.xfire.com/xfire/xf/images/icons/gun.gif
gb,GunBound World Champion,http://media.xfire.com/xfire/xf/images/icons/gb.gif
gunz,GunZ: The Duel,http://media.xfire.com/xfire/xf/images/icons/gunz.gif
hl15,Half-Life 1.5,http://media.xfire.com/xfire/xf/images/icons/hl15.gif
hl,Half-Life 1.6,http://media.xfire.com/xfire/xf/images/icons/hl.gif
hl2,Half-Life 2,http://media.xfire.com/xfire/xf/images/icons/hl2.gif
hl2ctf,Half-Life 2 Capture the Flag,http://media.xfire.com/xfire/xf/images/icons/hl2ctf.gif
hl2e1,Half-Life 2 Episode One,http://media.xfire.com/xfire/xf/images/icons/hl2e1.gif
hl2gmod,Half-Life 2 Garry's Mod,http://media.xfire.com/xfire/xf/images/icons/hl2gmod.gif
hl2sub,Half-Life 2 Substance,http://media.xfire.com/xfire/xf/images/icons/hl2sub.gif
hl2dm,Half-Life 2: Deathmatch,http://media.xfire.com/xfire/xf/images/icons/hl2dm.gif
hl2lc,Half-Life 2: Lost Coast,http://media.xfire.com/xfire/xf/images/icons/hl2lc.gif
hlsbs,Half-Life Blue Shift (Steam),http://media.xfire.com/xfire/xf/images/icons/hlsbs.gif
hls,Half-Life Source,http://media.xfire.com/xfire/xf/images/icons/hls.gif
halo,Halo,http://media.xfire.com/xfire/xf/images/icons/halo.gif
haloce,Halo Custom Edition,http://media.xfire.com/xfire/xf/images/icons/haloce.gif
winhearts,Hearts,http://media.xfire.com/xfire/xf/images/icons/winhearts.gif
hoi2,Hearts of Iron II,http://media.xfire.com/xfire/xf/images/icons/hoi2.gif
hoi2d,Hearts of Iron II Doomsday,http://media.xfire.com/xfire/xf/images/icons/hoi2d.gif
hgl,Hellgate London,http://media.xfire.com/xfire/xf/images/icons/hgl.gif
heroo,Hero Online,http://media.xfire.com/xfire/xf/images/icons/heroo.gif
homm3,Heroes of Might and Magic III,http://media.xfire.com/xfire/xf/images/icons/homm3.gif
homm3ab,Heroes of Might and Magic III Armageddon's Blade,http://media.xfire.com/xfire/xf/images/icons/homm3ab.gif
homm4,Heroes of Might and Magic IV,http://media.xfire.com/xfire/xf/images/icons/homm4.gif
